attr0,attr1,attr2
0,11.0,31.0
1,27.0,16.0
2,4.0,24.0
3,18.0,28.0
4,24.0,37.0
5,,32.0
6,26.0,36.0
7,27.0,35.0
8,23.0,40.0
9,28.0,46.0
10,31.0,10.0
11,,23.0
12,19.0,10.0
13,,6.0
14,25.0,23.0
15,25.0,18.0
16,25.0,38.0
17,16.0,34.0
18,16.0,42.0
19,28.0,25.0
20,29.0,18.0
21,,11.0
22,,
23,,22.0
24,9.0,35.0
25,20.0,26.0
26,25.0,12.0
27,21.0,24.0
28,13.0,31.0
29,32.0,28.0
30,,12.0
31,10.0,21.0
32,13.0,30.0
33,17.0,17.0
34,17.0,25.0
35,20.0,22.0
36,12.0,16.0
37,36.0,8.0
38,13.0,22.0
39,32.0,2.0
40,8.0,22.0
41,,
42,1.0,31.0
43,15.0,24.0
44,31.0,23.0
45,14.0,23.0
46,,32.0
47,17.0,
48,27.0,17.0
49,27.0,26.0
50,9.0,29.0
51,32.0,8.0
52,26.0,20.0
53,,29.0
54,21.0,9.0
55,29.0,39.0
56,33.0,19.0
57,,13.0
58,22.0,46.0
59,1.0,38.0
60,,39.0
61,48.0,27.0
62,25.0,38.0
63,,23.0
64,16.0,19.0
65,20.0,29.0
66,31.0,30.0
67,31.0,31.0
68,19.0,32.0
69,30.0,24.0
70,3.0,9.0
71,14.0,39.0
72,38.0,34.0
73,,24.0
74,21.0,15.0
75,27.0,19.0
76,,18.0
77,48.0,19.0
78,31.0,25.0
79,26.0,20.0
80,13.0,30.0
81,7.0,34.0
82,,21.0
83,15.0,25.0
84,22.0,36.0
85,15.0,27.0
86,,33.0
87,,41.0
88,18.0,23.0
89,28.0,40.0
90,,17.0
91,8.0,13.0
92,25.0,22.0
93,9.0,21.0
94,18.0,
95,37.0,26.0
96,,37.0
97,34.0,
98,27.0,3.0
99,38.0,25.0
